date,suburb,tmin,tmax,prcp,humidity_mean,daily_temp_range,month,is_summer,hot_day,poor_cooling_proxy
2020-07-24,Parramatta,5.0,18.8,0.0,57.931698,13.8,7,0,0,0
2020-07-25,Parramatta,5.8,18.2,0.0,67.131676,12.399999999999999,7,0,0,0
2020-07-26,Parramatta,9.0,15.5,5.6,67.77805,6.5,7,0,0,0
2020-07-27,Parramatta,11.8,16.3,97.0,63.84533,4.5,7,0,0,0
2020-07-28,Parramatta,12.0,18.3,18.0,59.93966,6.300000000000001,7,0,0,0
2020-07-29,Parramatta,7.6,20.0,0.0,53.24591,12.4,7,0,0,0
2020-07-30,Parramatta,4.6,18.4,0.0,54.23767,13.799999999999999,7,0,0,0
2020-07-31,Parramatta,6.0,17.7,0.0,50.84356,11.7,7,0,0,0
2020-08-01,Parramatta,4.0,20.0,0.0,64.09291,16.0,8,0,0,0
2020-08-02,Parramatta,5.4,21.0,0.0,60.672188,15.6,8,0,0,0
2020-08-03,Parramatta,4.6,21.8,0.0,66.36689,17.200000000000003,8,0,0,0
2020-08-04,Parramatta,8.2,21.5,0.0,57.296875,13.3,8,0,0,0
2020-08-05,Parramatta,3.8,17.8,0.0,48.957806,14.0,8,0,0,0
2020-08-06,Parramatta,3.2,16.2,0.0,61.30124,13.0,8,0,0,0
2020-08-07,Parramatta,6.2,14.8,0.0,76.24564,8.600000000000001,8,0,0,0
2020-08-08,Parramatta,10.0,16.1,19.0,67.91025,6.100000000000001,8,0,0,0
2020-08-09,Parramatta,5.8,15.7,6.4,55.85822,9.899999999999999,8,0,0,0
2020-08-10,Parramatta,7.6,16.3,30.0,36.713036,8.700000000000001,8,0,0,0
2020-08-11,Parramatta,9.3,17.4,3.4,42.036465,8.099999999999998,8,0,0,0
2020-08-12,Parramatta,7.8,18.0,0.0,45.864845,10.2,8,0,0,0
2020-08-13,Parramatta,7.8,22.4,0.0,62.08392,14.599999999999998,8,0,0,0
2020-08-14,Parramatta,8.0,17.5,0.0,64.851265,9.5,8,0,0,0
2020-08-15,Parramatta,11.0,19.2,6.0,59.321247,8.2,8,0,0,0
2020-08-16,Parramatta,10.8,20.0,1.4,50.041283,9.2,8,0,0,0
2020-08-17,Parramatta,7.5,20.0,0.0,57.757904,12.5,8,0,0,0
2020-08-18,Parramatta,9.1,20.5,0.0,68.79392,11.4,8,0,0,0
2020-08-19,Parramatta,7.7,21.4,0.0,64.846535,13.7,8,0,0,0
2020-08-20,Parramatta,9.0,18.0,0.0,66.47459,9.0,8,0,0,0
2020-08-21,Parramatta,8.7,18.5,0.0,63.879482,9.8,8,0,0,0
2020-08-22,Parramatta,7.5,15.0,0.0,73.67025,7.5,8,0,0,0
2020-08-23,Parramatta,7.2,16.7,0.0,88.28773,9.5,8,0,0,0
2020-08-24,Parramatta,3.8,18.3,0.0,71.82272,14.5,8,0,0,0
2020-08-25,Parramatta,1.7,16.5,0.0,62.651485,14.8,8,0,0,0
2020-08-26,Parramatta,3.7,19.2,0.0,53.362354,15.5,8,0,0,0
2020-08-27,Parramatta,3.2,21.6,0.0,51.31159,18.400000000000002,8,0,0,0
2020-08-28,Parramatta,8.3,19.2,0.0,54.490337,10.899999999999999,8,0,0,0
2020-08-29,Parramatta,4.0,22.8,0.0,55.77852,18.8,8,0,0,0
2020-08-30,Parramatta,5.3,25.5,0.0,52.568478,20.2,8,0,0,0
2020-08-31,Parramatta,13.5,23.0,0.0,51.695194,9.5,8,0,0,0
2020-09-01,Parramatta,10.0,19.0,0.0,64.303085,9.0,9,0,0,0
2020-09-02,Parramatta,5.5,24.2,0.0,65.15138,18.7,9,0,0,0
