date,suburb,tmax,tmin,daily_temp_range,night_start_time,night_min_time,night_start_temp,night_min_temp,night_hours_to_min,night_total_hours,night_cooling_rate,hot_day,cooling_failure,cooling_risk_category,humidity_mean,wind_speed_mean,air_pressure_mean,precipitation_total,month,is_summer
2020-03-10,Parramatta,21.784943,15.340668,6.4442749999999975,2020-03-10 18:00:00,2020-03-10 18:00:00,15.340668,15.340668,0.0,11.0,0.0,0,0,Not hot day,82.002593,2.407441075,1013.9397170833332,3.2587051566,3,0
2020-03-11,Parramatta,23.029205,13.687164,9.342041000000002,2020-03-11 18:00:00,2020-03-11 18:00:00,13.687164,13.687164,0.0,11.0,0.0,0,0,Not hot day,76.43579662500001,1.879408505,1014.3108245833333,0.29230117746,3,0
2020-03-12,Parramatta,24.065826,15.310089,8.755737000000002,2020-03-12 18:00:00,2020-03-12 18:00:00,15.341705,15.341705,0.0,11.0,0.0,0,0,Not hot day,78.142600875,1.8520668408333334,1016.6080183333333,2.9420852819,3,0
2020-03-13,Parramatta,24.44516,11.962738,12.482422000000001,2020-03-13 18:00:00,2020-03-13 18:00:00,11.962738,11.962738,0.0,11.0,0.0,0,0,Not hot day,74.47534729166667,2.2533528429166667,1014.6637525,0.3418922444,3,0
2020-03-14,Parramatta,25.302155,15.507355,9.794799999999999,2020-03-14 18:00:00,2020-03-15 03:00:00,17.587708,14.066742,9.0,11.0,0.3912184444444444,0,0,Not hot day,75.94240320833333,3.69147852375,1007.6714975,0.0963211075,3,0
2020-03-15,Parramatta,19.251068,14.066742,5.184326,2020-03-15 18:00:00,2020-03-15 18:00:00,14.183319,14.183319,0.0,11.0,0.0,0,0,Not hot day,75.64023504166667,4.205223591666667,1012.7189229166667,4.070281974,3,0
2020-03-16,Parramatta,19.804108,15.881012,3.9230959999999993,2020-03-16 18:00:00,2020-03-16 18:00:00,15.927032,15.927032,0.0,11.0,0.0,0,0,Not hot day,83.14602258333333,3.827418145833333,1016.0370187499999,5.967617026,3,0
2020-03-17,Parramatta,20.88092,14.269989,6.610930999999999,2020-03-17 18:00:00,2020-03-17 18:00:00,14.269989,14.269989,0.0,11.0,0.0,0,0,Not hot day,82.19645691666666,3.171867516666667,1019.2454733333334,3.7941932569000003,3,0
2020-03-18,Parramatta,23.080902,12.139313,10.941588999999999,2020-03-18 18:00:00,2020-03-18 18:00:00,12.139313,12.139313,0.0,11.0,0.0,0,0,Not hot day,80.884066875,1.4234922520833333,1018.8777945833334,0.4386901915,3,0
2020-03-19,Parramatta,28.150421,13.286438,14.863983000000001,2020-03-19 18:00:00,2020-03-19 18:00:00,13.286438,13.286438,0.0,11.0,0.0,1,1,Extreme risk,73.5203985,2.0636449791666664,1014.7441920833334,0.0,3,0
2020-03-20,Parramatta,31.300446,16.764648,14.535798,2020-03-20 18:00:00,2020-03-20 18:00:00,16.764648,16.764648,0.0,11.0,0.0,1,1,Extreme risk,62.115430874999994,2.0919888770833333,1010.1517375,0.0,3,0
2020-03-21,Parramatta,34.80136,15.492035,19.309325,2020-03-21 18:00:00,2020-03-21 18:00:00,15.492035,15.492035,0.0,11.0,0.0,1,1,Extreme risk,62.82988279166667,2.8338535099999995,1008.1687379166666,0.54502485716,3,0
2020-03-22,Parramatta,26.032104,16.850616,9.181488000000002,2020-03-22 18:00:00,2020-03-22 18:00:00,16.850616,16.850616,0.0,11.0,0.0,0,0,Not hot day,75.84171500000001,1.87672056375,1012.0235083333333,0.9679794327000001,3,0
2020-03-23,Parramatta,29.304657,17.697174,11.607482999999998,2020-03-23 18:00:00,2020-03-23 18:00:00,17.697174,17.697174,0.0,11.0,0.0,1,1,Extreme risk,62.86648979166666,3.8095810291666665,1014.1394574999999,1.252174379,3,0
2020-03-24,Parramatta,21.922394,15.460236,6.4621580000000005,2020-03-24 18:00:00,2020-03-24 18:00:00,15.460236,15.460236,0.0,11.0,0.0,0,0,Not hot day,80.10306429166667,1.78542772875,1017.02505125,2.3159980754,3,0
2020-03-25,Parramatta,22.537628,15.616638,6.9209900000000015,2020-03-25 18:00:00,2020-03-25 18:00:00,15.616638,15.616638,0.0,11.0,0.0,0,0,Not hot day,78.99277854166667,2.23841275,1012.8990741666667,3.00598144106,3,0
